;11<DAAT<=14;11<DAAT<=14;11<DAAT<=14;11<DAAT<=14;11<DAAT<=14;11<DAAT<=14;11<DAAT<=14;11<DAAT<=14;11<DAAT<=14;11<DAAT<=14;11<DAAT<=14;11<DAAT<=14;11<DAAT<=14;11<DAAT<=14;14<DAAT<=18;14<DAAT<=18;14<DAAT<=18;14<DAAT<=18;14<DAAT<=18;14<DAAT<=18;14<DAAT<=18;14<DAAT<=18;14<DAAT<=18;14<DAAT<=18;14<DAAT<=18;14<DAAT<=18;14<DAAT<=18;14<DAAT<=18;5<DAAT<=11;5<DAAT<=11;5<DAAT<=11;5<DAAT<=11;5<DAAT<=11;5<DAAT<=11;5<DAAT<=11;5<DAAT<=11;5<DAAT<=11;5<DAAT<=11;5<DAAT<=11;5<DAAT<=11;5<DAAT<=11;5<DAAT<=11;ATR;ATR;ATR;ATR;ATR;ATR;ATR;ATR;ATR;ATR;ATR;ATR;ATR;ATR;DAAT<=5;DAAT<=5;DAAT<=5;DAAT<=5;DAAT<=5;DAAT<=5;DAAT<=5;DAAT<=5;DAAT<=5;DAAT<=5;DAAT<=5;DAAT<=5;DAAT<=5;DAAT<=5;DAAT>18;DAAT>18;DAAT>18;DAAT>18;DAAT>18;DAAT>18;DAAT>18;DAAT>18;DAAT>18;DAAT>18;DAAT>18;DAAT>18;DAAT>18;DAAT>18
;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal
;['All closed'];['All closed'];['All closed'];['All closed'];['All closed'];['WP1', 'WP2'];['WP1', 'WP2'];['WP1'];['WP1'];['WP1'];['WP1'];['WP1'];['WP2'];['WP2'];['All closed'];['All closed'];['All closed'];['All closed'];['All closed'];['WP1', 'WP2'];['WP1', 'WP2'];['WP1'];['WP1'];['WP1'];['WP1'];['WP1'];['WP2'];['WP2'];['All closed'];['All closed'];['All closed'];['All closed'];['All closed'];['WP1', 'WP2'];['WP1', 'WP2'];['WP1'];['WP1'];['WP1'];['WP1'];['WP1'];['WP2'];['WP2'];['All closed'];['All closed'];['All closed'];['All closed'];['All closed'];['WP1', 'WP2'];['WP1', 'WP2'];['WP1'];['WP1'];['WP1'];['WP1'];['WP1'];['WP2'];['WP2'];['All closed'];['All closed'];['All closed'];['All closed'];['All closed'];['WP1', 'WP2'];['WP1', 'WP2'];['WP1'];['WP1'];['WP1'];['WP1'];['WP1'];['WP2'];['WP2'];['All closed'];['All closed'];['All closed'];['All closed'];['All closed'];['WP1', 'WP2'];['WP1', 'WP2'];['WP1'];['WP1'];['WP1'];['WP1'];['WP1'];['WP2'];['WP2']
;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2
;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01
;Room_Bath;Room_Children;Room_Kitchen;Room_Living;Room_Sleeping;Room_Children;Room_Sleeping;Room_Bath;Room_Children;Room_Kitchen;Room_Living;Room_Sleeping;Room_Children;Room_Sleeping;Room_Bath;Room_Children;Room_Kitchen;Room_Living;Room_Sleeping;Room_Children;Room_Sleeping;Room_Bath;Room_Children;Room_Kitchen;Room_Living;Room_Sleeping;Room_Children;Room_Sleeping;Room_Bath;Room_Children;Room_Kitchen;Room_Living;Room_Sleeping;Room_Children;Room_Sleeping;Room_Bath;Room_Children;Room_Kitchen;Room_Living;Room_Sleeping;Room_Children;Room_Sleeping;Room_Bath;Room_Children;Room_Kitchen;Room_Living;Room_Sleeping;Room_Children;Room_Sleeping;Room_Bath;Room_Children;Room_Kitchen;Room_Living;Room_Sleeping;Room_Children;Room_Sleeping;Room_Bath;Room_Children;Room_Kitchen;Room_Living;Room_Sleeping;Room_Children;Room_Sleeping;Room_Bath;Room_Children;Room_Kitchen;Room_Living;Room_Sleeping;Room_Children;Room_Sleeping;Room_Bath;Room_Children;Room_Kitchen;Room_Living;Room_Sleeping;Room_Children;Room_Sleeping;Room_Bath;Room_Children;Room_Kitchen;Room_Living;Room_Sleeping;Room_Children;Room_Sleeping
;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM
Time;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017-11-07;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.5;0.0;0.333333333333;0.666666666667;0.0;0.0;1.0;0.0;0.0;0.666666666667;0.0;1.0;1.0;0.0;0.333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
